"Term","Score"
"канад",101.10913605803
"жінк",86.001412935032
"книжк",82.2287316022341
"трудов",76.6163414105736
"насильств",71.0437397854999
"жінок",69.9519734919278
"кодекс",69.8786192998941
"чоловік",67.5162983703733
"домашн",64.5788036380195
"трамп",58.7843814290869
"дитин",57.3363030152978
"ден",56.4313943226041
"марш",56.4313943226041
"військов",52.7724117369824
"люд",52.1143683863537
"перелік",50.1692651383855
"кримськ",50.1420892626899
"діт",50.1105187398147
"вашингтон",47.5030319330747
"президент",46.9088104328733
"україн",46.4919969824584
"києв",46.3522298343286
"європейськ",46.3328737731521
"фріланд",45.6678365658513
"країн",45.303254355971
"комітет",43.3906496504078
"міністерств",43.1139299916918
"сексуальн",41.5330047100349
"донбас",41.4557019150883
"батьк",40.8641131301616
"проект",40.8065539601158
"зазнач",40.0884149918518
"соціальн",39.8229994381986
"реж",39.7974738384848
"стамбульськ",39.7974738384848
"суд",39.4187083230172
"нов",38.9757015778114
"посад",38.8534560190649
"питанн",38.5807419259276
"уряд",38.5111260236787
"уповноважен",38.1392457618812
"робот",37.6381549456999
"законопроект",37.5136816735799
"заяв",37.281105857037
"національн",37.0662990185217
"канадськ",36.5342692526811
"татар",36.5342692526811
"лгбтспільнот",36.1799389994376
"експерт",36.1739073280949
"дональд",35.2706288574522
