"Term","Score"
"прав",24.9277301694883
"суд",22.4616261228191
"україн",21.2157899341496
"влад",18.7180217690159
"вплив",12.8247467873077
"громадян",12.8247467873077
"дотриманн",12.8247467873077
"респондент",12.8247467873077
"людин",11.2308130614095
"редактор",11.2308130614095
"азар",10.2597974298461
"закон",10.2597974298461
"микол",10.2597974298461
"позов",10.2597974298461
"судов",10.2597974298461
"гендерн",9.35901088450796
"думк",9.35901088450796
"українськ",9.27827865880178
"кримреалі",8.79802241276056
"автор",7.73189888233482
"вважают",7.69484807238461
"заяв",7.69484807238461
"катерин",7.69484807238461
"левченк",7.69484807238461
"нов",7.69484807238461
"олен",7.69484807238461
"опитан",7.69484807238461
"правозахисник",7.69484807238461
"кореспондент",7.48720870760637
"слов",7.48720870760637
"шевченк",7.48720870760637
"прогр",7.42847050087468
"ведуч",6.95870899410134
"журналістик",5.89327498170823
"імен",5.89327498170823
"міжнародн",5.89327498170823
"свобода»",5.89327498170823
"університет",5.73306867016462
"голов",5.61540653070477
"країн",5.61540653070477
"науков",5.61540653070477
"основн",5.61540653070477
"політичн",5.61540653070477
"президент",5.61540653070477
"рівн",5.61540653070477
"служб",5.61540653070477
"тарас",5.61540653070477
"філософськ",5.61540653070477
"національн",5.41232921763437
"’єднанн",5.12989871492307
