"Term","Score"
"талашк",177.74686984378
"насильств",161.91532286427
"облік",160.982497106531
"військов",152.73427538529
"марш",126.878986013961
"березн",107.631339396699
"ден",101.803041813909
"міс",100.469240444873
"режисер",97.1794100753676
"підбор",94.3801955694261
"афганістан",91.941546042156
"університет",91.2025442131943
"домашн",89.5118668565444
"чоловік",81.0523798112498
"міжнародн",80.9176979967064
"камінгаут",79.7547023791796
"країн",79.6459988763971
"слов",77.7832395835351
"гендерн",76.4762760989857
"служб",76.2268169534191
"дівчин",73.9445856641019
"оборон",73.9445856641019
"талібан",73.8936052292272
"конкурс",73.3084992238545
"прав",73.3035240996454
"парад",71.254547899612
"таліб",71.254547899612
"конкур",70.893068781493
"закон",70.2925764905565
"жіноч",70.0731928032625
"книг",69.9762947136793
"незалежност",69.577386194064
"актор",68.6154905699967
"батьк",68.106855216936
"міністерств",67.8686945426063
"рудик",67.7130932738211
"діт",67.4489726885982
"люд",67.4489726885982
"кра",65.9764332403815
"жінк",64.8766708237622
"свят",63.846951175478
"сша",63.769540611515
"стат",63.5473395290403
"посад",63.0209306467059
"участ",63.0209306467059
"законопроєкт",62.7115814229819
"сексизм",62.3065347366968
"сенівсуспільн",62.0314351838064
"тимур",62.0314351838064
"суспільств",61.8089896727308
