"Term","Score"
"питанн",82.1897306212114
"спорт",71.2453374118178
"нат",69.4097184118247
"конкурс",68.7886016389965
"квот",60.7335036103466
"військов",58.1984235446248
"президент",53.8688076453008
"дівчат",52.9668158819746
"оборон",51.5914512292474
"єврокомісар",49.7748728608518
"вид",47.7191814081295
"велик",47.604992802824
"перш",47.4486801816834
"абсолютн",47.2290086339065
"громадянств",46.2195247993624
"випадк",45.8533033987953
"проект",45.0642615481548
"політик",44.5679416812545
"питан",44.5679416812545
"зсу",44.2212439107835
"списк",44.089714806534
"європейськ",43.4599514929022
"досвід",43.4548236357207
"україн",43.3383696460091
"житл",42.933013213942
"нападник",42.933013213942
"стандарт",42.933013213942
"маєм",42.8012890744778
"чин",42.8012890744778
"стратегічн",42.664176737873
"робит",42.101828008749
"запоріжж",41.7645081379622
"змаганн",41.7645081379622
"перемог",41.7645081379622
"рейтинг",41.3253825546682
"напад",41.2120203070209
"люд",40.3167922024628
"наприклад",40.0884149918518
"чоловік",39.8861153282251
"насильств",39.8494760348586
"прав",39.4662614826648
"план",39.3855810404426
"підручник",39.1088286763835
"взагал",38.6255494570872
"березн",38.0274575562894
"країн",37.7868461004238
"храм",37.2086114520831
"політичн",37.0384892381134
"діт",37.0353604374885
"йде",37.0353604374885
