"word","freq"
"україн",34
"жінок",28
"насильств",23
"конвенц",22
"стамбульськ",22
"військов",17
"читайт",17
"жінк",16
"новин",15
"суспільн",15
"гендерн",14
"конвенці",14
"рад",14
"форм",12
"зеленськ",12
"світ",12
"документ",12
"нат",11
"головн",11
"українськ",10
"президент",10
"уряд",10
"європ",10
"країн",10
"верховн",9
"фріланд",9
"мают",9
"слов",8
"питан",8
"фот",8
"домашн",8
"ратифікац",8
"заяв",7
"перш",7
"робот",7
"житт",7
"прав",7
"відом",7
"міжнародн",7
"наказ",6
"облік",6
"стан",6
"частин",6
"державн",6
"розгляд",6
"сша",6
"віцепремєрк",6
"telegram",6
"заклик",6
"лист",6
"ратифікув",6
"ратифікувал",6
"чоловік",6
"саудівськ",6
"жіноч",5
"міністр",5
"стат",5
"безпек",5
"нагород",5
"олен",5
"отримал",5
"парламент",5
"cbc",5
"news",5
"генсек",5
"отрим",5
"посад",5
"участ",5
"підписуйт",5
"розсилк",5
"текст",5
"тижн",5
"відповідн",5
"ратифікаці",5
"спростит",5
"стефанішин",5
"google",5
"застереженн",5
"міст",5
"вторгненн",4
"міністерств",4
"оборон",4
"січн",4
"боротьб",4
"заявил",4
"ма",4
"онлайн",4
"оон",4
"політик",4
"пресслужб",4
"секретар",4
"інститут",4
"генеральн",4
"канад",4
"питанн",4
"повідомил",4
"європейськ",4
"вік",4
"громадськ",4
"законопроєкт",4
"запобіганн",4
"консультаці",4
"розясненн",4
"церк",4
"email",4
"protected",4
"віде",4
"діджиталплатформ",4
"заповнит",4
"користувач",4
"надсилайт",4
"опублікуєм",4
"пишіт",4
"повідомляйт",4
"поді",4
"пошт",4
"селищ",4
"станьт",4
"історі",4
"араві",4
"femen",4
"спеціальност",4
"білизн",3
"військовослужбовиц",3
"зазнач",3
"займают",3
"закон",3
"костюм",3
"отриманн",3
"росі",3
"різн",3
"awards",3
"clinton",3
"hillary",3
"rodham",3
"the",3
"відзнак",3
"війн",3
"людин",3
"підтримк",3
"рол",3
"свобод",3
"суспільств",3
"сфер",3
"українц",3
"центр",3
"альянс",3
"відповід",3
"дан",3
"джерел",3
"журналіст",3
"загал",3
"міністерк",3
"нов",3
"стал",3
"іспанськ",3
"кампан",3
"стереотип",3
"володимир",3
"всеукраїнськ",3
"жертв",3
"люд",3
"організац",3
"пров",3
"підпис",3
"релігійн",3
"сайт",3
"червн",3
"явищ",3
"акаунт",3
"визначенн",3
"renfe",3
"машиністк",3
"активістк",3
"внесен",2
"волонтер",2
"досліджен",2
"знак",2
"міноборон",2
"надійшл",2
"нараз",2
"носінн",2
"правил",2
"проход",2
"резнік",2
"сил",2
"тестуванн",2
"уніфікован",2
"цивільн",2
"бачелет",2
"безпечн",2
"важлив",2
"велик",2
"відзначил",2
"громадянськ",2
"груден",2
"гідност",2
"ден",2
"джорджтаунськ",2
"конфлікт",2
"лед",2
"лідерств",2
"мирн",2
"мішел",2
"належит",2
"оп",2
"премі",2
"рф",2
"рівност",2
"сексуальн",2
"англійськ",2
"брюссел",2
"віцепремєрміністерк",2
"знанн",2
"йдет",2
"кваліфікован",2
"кол",2
"мов",2
"можливіст",2
"місяц",2
"наступн",2
"нинішн",2
"переваг",2
"пиш",2
"призначенн",2
"раз",2
"ред",2
"російськ",2
"серпн",2
"столтенберг",2
"термін",2
"фінанс",2
"христ",2
"шан",2
"штабквартир",2
"ім",2
"антон",2
"дискримінаці",2
"зазнают",2
"кра",2
"літ",2
"моріллас",2
"місц",2
"повідомля",2
"рівноправност",2
"соціальн",2
"ідеал",2
"інформаційн",2
"іспані",2
"брал",2
"виступают",2
"вніс",2
"гендер",2
"депут",2
"діт",2
"законодавств",2
"комітет",2
"лют",2
"медичн",2
"навяз",2
"народн",2
"ольг",2
"опублікувал",2
"пообіцяв",2
"протиді",2
"проєкт",2
"підготовц",2
"стверджуюч",2
"туреччин",2
"ухвал",2
"числ",2
"євроатлантичн",2
"ідеолог",2
"інтеграці",2
"будьяк",2
"грудн",2
"згод",2
"змінит",2
"компані",2
"незалежн",2
"паспорт",2
"починаюч",2
"працівник",2
"підготув",2
"результат",2
"вийт",2
"влад",2
"керівництв",2
"компан",2
"медин",2
"мекк",2
"поїзд",2
"рок",2
"стосуют",2
"випл",2
"організаці",2
"офіс",2
"пенсійн",2
"провел",2
"профес",2
"розповіл",2
"рівн",2
"скасув",2
"стосуєт",2
"чинност",2
"бачим",2
"конституці",2
"підкреслил",2
"розумієм",2
"сформув",2
"тлумаченн",2
"армі",1
"бажанн",1
"безвіст",1
"берц",1
"бригад",1
"варіант",1
"вважают",1
"взутт",1
"виготовлен",1
"видают",1
"виробник",1
"висок",1
"власн",1
"вперш",1
"впровадженн",1
"відомств",1
"військ",1
"військовослужбовц",1
"голов",1
"доопрацьован",1
"екземпляр",1
"експериментальн",1
"експозиц",1
"жінкавійськовослужбовиц",1
"зʼявит",1
"загинул",1
"затвердженн",1
"зауважен",1
"захисниц",1
"збройн",1
"змін",1
"зникл",1
"зсу",1
"кітел",1
"липн",1
"листопад",1
"ліце",1
"ліцеїст",1
"модел",1
"наданн",1
"оборонн",1
"одяг",1
"окрем",1
"олекс",1
"парті",1
"план",1
"побажан",1
"повномасштабн",1
"повідом",1
"повідомлял",1
"польов",1
"працівниц",1
"представил",1
"розмірн",1
"розпоч",1
"розробк",1
"розрізненн",1
"розукомплектуванн",1
"служб",1
"спідн",1
"спільн",1
"сітк",1
"тип",1
"тисяч",1
"черевик",1
"чинн",1
"чоловіч",1
"штан",1
"giwps",1
"атак",1
"багаторічн",1
"блекаут",1
"бок",1
"борет",1
"британі",1
"весекськ",1
"вивч",1
"визнанн",1
"винятк",1
"висвітлю",1
"високіст",1
"виступил",1
"включн",1
"водночас",1
"вруч",1
"вручил",1
"відстоюют",1
"відчутт",1
"гол",1
"гот",1
"графин",1
"гіллар",1
"десятилітт",1
"директорк",1
"дозвольт",1
"досвід",1
"дружин",1
"загибл",1
"карбовськ",1
"катерин",1
"клінтон",1
"комісар",1
"королівськ",1
