"word","freq"
"раді",13
"свобод",13
"редактор",7
"університет",7
"кореспондент",5
"автор",4
"журналістик",4
"ведуч",4
"прогр",4
"національн",4
"українськ",3
"факультет",3
"імен",3
"тематик",3
"журналіст",3
"закінчил",3
"служб",3
"інститут",3
"закінч",2
"київськ",2
"народ",2
"працюв",2
"співпрацю",2
"журналістиц",2
"політичн",2
"регіональн",2
"брюссел",2
"вел",2
"телевізійн",2
"економічн",2
"запорізьк",2
"працю",2
"державн",2
"міжнародн",2
"україн",2
"управлінн",2
"документальн",2
"курс",2
"проект",2
"укладач",2
"іде",2
"available",1
"currently",1
"media",1
"source",1
"вед",1
"вечірн",1
"власт",1
"врангел",1
"відомост",1
"війн",1
"віст",1
"газет",1
"друг",1
"дєнєг",1
"журнал",1
"кавалеристидержавник",1
"книжок",1
"кореcпондент",1
"львівськ",1
"маннергейм",1
"міф",1
"політиц",1
"постпоступ",1
"програм",1
"світов",1
"скоропадськ",1
"спеціаліз",1
"сум",1
"франк",1
"якбитолог",1
"іван",1
"історичн",1
"історі",1
"bbcукраїн",1
"аналіз",1
"ераfm",1
"основн",1
"парламентськ",1
"поді",1
"financial",1
"reuters",1
"times",1
"випускниц",1
"економіст",1
"ефір",1
"звязк",1
"кду",1
"лондон",1
"мар",1
"праз",1
"стажувал",1
"тренінг",1
"фах",1
"франкфурт",1
"філолог",1
"центральноєвропейськ",1
"щур",1
"європ",1
"іноземн",1
"буковин",1
"род",1
"богдан",1
"газетн",1
"досвід",1
"ма",1
"народил",1
"робот",1
"спеціальніст",1
"хмельницьк",1
"черкас",1
"черкаськ",1
"альпінізм",1
"дозвілл",1
"екологічн",1
"захоплю",1
"мелітопол",1
"міст",1
"найбільш",1
"област",1
"садівництв",1
"соціальн",1
"цікавл",1
"академ",1
"вивчал",1
"відносин",1
"директор",1
"економік",1
"києв",1
"місцев",1
"нин",1
"рузвельтськ",1
"різн",1
"самоврядуванн",1
"світ",1
"травн",1
"чикаг",1
"irex",1
"аеропорт",1
"архів",1
"бімедіальн",1
"всесвітн",1
"гельсінськ",1
"головн",1
"голодомор",1
"груп",1
"донецьк",1
"жовтн",1
"зна",1
"кдб",1
"книг",1
"коментатор",1
"культур",1
"людьм",1
"міграці",1
"навчальн",1
"новин",1
"організаці",1
"працювал",1
"продюсер",1
"пройшл",1
"промед",1
"протиді",1
"радіожурналістик",1
"радіостанці",1
"раз",1
"редакці",1
"режисер",1
"ростовськ",1
"сандармох",1
"спецпроект",1
"січ",1
"тел",1
"телерадіокомпані",1
"торгівл",1
"філософськ",1
"фільм",1
"інтерньюзукраїн",1
"інформаційн",1
"енергетичн",1
"наук",1
"пиш",1
"ранков",1
"тарас",1
"шевченк",1
